IControl prefs:  border width: 18, border height: 18
IControl prefs:  title height: 16, Window height: 18
IControl prefs:  volume guage width: 19
screen width: 1024
Screen height: 768
entry Processing directory: PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T
Formatting actual folder - not a slove folder
screen width: 1024
windowWidth: 320
Dumping Icon Array of 267 icons, max width is 166px
Icon 0: Width = 42, Height = 42, Text Width = 144, Text Height = 13, Max Width = 144, Max Height = 57, x = 197, y = 3561, Text = TZer0DemoNoMovieAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TZer0DemoNoMovieAGA.info
Icon 1: Width = 42, Height = 42, Text Width = 93, Text Height = 13, Max Width = 93, Max Height = 57, x = 46, y = 3561, Text = TZer0DemoAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TZer0DemoAGA.info
Icon 2: Width = 42, Height = 42, Text Width = 139, Text Height = 13, Max Width = 139, Max Height = 57, x = 727, y = 3494, Text = TyphoonThompsonNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TyphoonThompsonNTSC.info
Icon 3: Width = 42, Height = 42, Text Width = 166, Text Height = 13, Max Width = 166, Max Height = 57, x = 538, y = 3494, Text = TyphoonThompson512kNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TyphoonThompson512kNTSC.info
Icon 4: Width = 42, Height = 42, Text Width = 49, Text Height = 13, Max Width = 49, Max Height = 57, x = 420, y = 3494, Text = Typhoon.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Typhoon.info
Icon 5: Width = 42, Height = 42, Text Width = 43, Text Height = 13, Max Width = 43, Max Height = 57, x = 247, y = 3494, Text = Twylyte.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Twylyte.info
Icon 6: Width = 42, Height = 42, Text Width = 58, Text Height = 13, Max Width = 58, Max Height = 57, x = 64, y = 3494, Text = TwinWorld.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TwinWorld.info
Icon 7: Width = 42, Height = 42, Text Width = 64, Text Height = 13, Max Width = 64, Max Height = 57, x = 765, y = 3427, Text = TwinTurbos.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TwinTurbos.info
Icon 8: Width = 42, Height = 42, Text Width = 42, Text Height = 13, Max Width = 42, Max Height = 57, x = 600, y = 3427, Text = Twintris.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Twintris.info
Icon 9: Width = 42, Height = 42, Text Width = 96, Text Height = 13, Max Width = 96, Max Height = 57, x = 397, y = 3427, Text = TVSportsFootball.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsFootball.info
Icon 10: Width = 42, Height = 42, Text Width = 89, Text Height = 13, Max Width = 89, Max Height = 57, x = 224, y = 3427, Text = TVSportsBoxing.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsBoxing.info
Icon 11: Width = 42, Height = 42, Text Width = 114, Text Height = 13, Max Width = 114, Max Height = 57, x = 36, y = 3427, Text = TVSportsBasketballIt.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsBasketballIt.info
Icon 12: Width = 42, Height = 42, Text Width = 142, Text Height = 13, Max Width = 142, Max Height = 57, x = 726, y = 3360, Text = TVSportsBasketball2223It.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsBasketball2223It.info
Icon 13: Width = 42, Height = 42, Text Width = 136, Text Height = 13, Max Width = 136, Max Height = 57, x = 553, y = 3360, Text = TVSportsBasketball2223.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsBasketball2223.info
Icon 14: Width = 42, Height = 42, Text Width = 108, Text Height = 13, Max Width = 108, Max Height = 57, x = 391, y = 3360, Text = TVSportsBasketball.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsBasketball.info
Icon 15: Width = 42, Height = 42, Text Width = 99, Text Height = 13, Max Width = 99, Max Height = 57, x = 219, y = 3360, Text = TVSportsBaseball.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TVSportsBaseball.info
Icon 16: Width = 42, Height = 42, Text Width = 37, Text Height = 13, Max Width = 42, Max Height = 57, x = 72, y = 3360, Text = Tusker.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Tusker.info
Icon 17: Width = 42, Height = 42, Text Width = 79, Text Height = 13, Max Width = 79, Max Height = 57, x = 757, y = 3293, Text = TurricanNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurricanNTSC.info
Icon 18: Width = 42, Height = 42, Text Width = 78, Text Height = 13, Max Width = 78, Max Height = 57, x = 582, y = 3293, Text = TurricanDemo.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurricanDemo.info
Icon 19: Width = 42, Height = 42, Text Width = 80, Text Height = 13, Max Width = 80, Max Height = 57, x = 405, y = 3293, Text = TurricanCDTV.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurricanCDTV.info
