IDENT	NAME	Line#	Type	Current Hint(s)
main_gf_target_path	Folder to clean:	1063	GetFile	Select the folder you want to tidy. To include subfolders, enable "Include Subfolders" below.
main_ch_sort_primary	Grouping	1182	Chooser	Sets how icons are grouped before sorting. Folders first, files first, mixed, or grouped by type.
main_ch_sort_secondary	Sort By	1214	Chooser	Selects the field used for sorting: name, kind, date, or size.
main_ch_positioning	Window Position	1246	Chooser	Controls where drawer windows are placed after resizing. (Only affects windows iTidy changes.)
main_cb_cleanup_subfolders		1317	Checkbox	When enabled, iTidy also processes all subfolders under the selected folder.
main_cb_create_new_icons		1346	Checkbox	(none)
main_cb_backup_icons		1374	Checkbox	Creates an LhA backup of the folder's .info files before changes. Requires LhA in C:
main_btn_advanced	Advanced...	1442	Button	Opens Advanced Settings for finer control over layout and sizing.
main_btn_default_tools	Fix Default Tools...	1477	Button	Scans icons for missing or invalid Default Tools. Lets you fix them or batch-replace one tool with another.
main_btn_restore_backups	Restore Backups...	1512	Button	Restores icon positions and window snapshots from iTidy backups. Only available if you previously enabled backups.
main_btn_icon_settings	Icon Creation...	1547	Button	(none)
main_btn_start	Start	1620	Button	Starts tidying the selected folder using the current settings.
main_btn_exit	Exit	1655	Button	Closes iTidy.
mp_lb_status	ListBrowser_56	1834	ListBrowser	(none)
mp_txt_status	Starting, One Moment Please...	1919	Button	(none)
mp_btn_cancel	Cancel	1992	Button	Press this to cancel the current iTidy run. Note: Any changes made to the system will not be undone.
adv_ch_layout_aspect	Layout Aspect	2199	Chooser	Sets the target width-to-height shape for drawer windows.
adv_ch_layout_when_full	When Full	2231	Chooser	Choose what iTidy does when a drawer has more icons than fit comfortably on screen.
adv_ch_layout_align_vertically	Align Vertically	2263	Chooser	Sets how icons are aligned vertically when a row contains icons of different heights.
adv_int_iconspacing_x	Horizontal Spacing	2334	Integer	Sets the horizontal gap between icons (in pixels).
adv_int_iconspacing_y	Vertical Spacing	2366	Integer	Sets the vertical gap between icons (in pixels).
adv_int_icons_per_row_min	Icons Per Row: Min	2459	Integer	Minimum columns. Prevents drawers becoming one long vertical list.
adv_cb_icons_per_row_autolayout		2491	Checkbox	When enabled (default), iTidy automatically chooses the maximum columns based on the window width.
adv_int_icons_per_row_max	Max	2520	Integer	Maximum columns (used only when "Auto-Calc Max Icons" is disabled).
adv_ch_layout_max_width	Max Window Width	2552	Chooser	Limits how wide drawer windows may become (percentage of screen width).
adv_cb_column_layout		2623	Checkbox	When enabled, iTidy uses a column-based layout rather than free-flow positioning.
adv_ch_layout_gap_between_groups	Gap Between Groups	2652	Chooser	Controls spacing between icon groups when using the "Grouped by Type" order mode.
adv_cb_optimize_columns		2745	Checkbox	When enabled (default), each column is sized to its widest icon instead of forcing all columns to the same width.
adv_cb_reverse_sort		2774	Checkbox	Reverses the current sort direction (Z->A, newest-first, or largest-first depending on sort mode).
adv_cb_strip_newicon_borders		2803	Checkbox	Strips NewIcons borders during processing (requires icon.library v44+). This permanently modifies those icons.
adv_cb_skip_hidden		2832	Checkbox	When enabled (default), iTidy skips folders without .info files during recursive processing.
adv_btn_defaults	Defaults	2978	Button	Resets these settings to defaults.
adv_btn_cancel	Cancel	3013	Button	Discards changes and returns to the main window.
adv_btn_ok	OK	3048	Button	Accepts changes and closes this window. Use the main window's "Save" menu item to write settings to disk.
rb_lb_backups	ListBrowser_107	3227	ListBrowser	(none)
rb_lb_details	ListBrowser_117	3312	ListBrowser	(none)
rb_btn_delete	Delete Run	3397	Button	(none)
rb_btn_restore	Restore Run	3431	Button	(none)
rb_btn_view_folders	View Folders...	3465	Button	(none)
rb_btn_close	Cancel	3499	Button	(none)
rfv_lb_folders	ListBrowser_121	3638	ListBrowser	(none)
rfv_btn_close	Close	3684	Button	(none)
rp_gauge_main		3823	FuelGauge	(none)
rp_txt_main	Starting, One Moment Please...	3858	Label	(none)
rp_gauge_sub		3884	FuelGauge	(none)
rp_txt_sub	Processing	3919	Label	(none)
dta_ch_folder	Folder:	4206	GetFile	(none)
